Polarizer_deg,Analyzer_deg,Intensity
9.000000000000000000e+01,0.000000000000000000e+00,5.121901611647456526e-03
9.000000000000000000e+01,1.000000000000000000e+01,4.268111624660881828e-03
9.000000000000000000e+01,2.000000000000000000e+01,1.201281482062982421e-03
9.000000000000000000e+01,3.000000000000000000e+01,6.909591929828081151e-04
9.000000000000000000e+01,4.000000000000000000e+01,3.356021372435045742e-03
9.000000000000000000e+01,5.000000000000000000e+01,2.534768291705611666e-03
9.000000000000000000e+01,6.000000000000000000e+01,-3.543282223162557473e-03
9.000000000000000000e+01,7.000000000000000000e+01,-2.750782612275585060e-03
9.000000000000000000e+01,8.000000000000000000e+01,4.887057561577070643e-04
9.000000000000000000e+01,9.000000000000000000e+01,-1.104446352178861408e-03
9.000000000000000000e+01,1.000000000000000000e+02,3.765518884981557905e-03
9.000000000000000000e+01,1.100000000000000000e+02,5.490726925766547216e-04
9.000000000000000000e+01,1.200000000000000000e+02,1.525716314765625551e-03
9.000000000000000000e+01,1.300000000000000000e+02,2.024996653885960396e-03
9.000000000000000000e+01,1.400000000000000000e+02,1.531398660156602239e-05
9.000000000000000000e+01,1.500000000000000000e+02,2.265166510160634104e-03
9.000000000000000000e+01,1.600000000000000000e+02,-1.047018606429375069e-03
9.000000000000000000e+01,1.700000000000000000e+02,-6.576531926786190587e-04
9.000000000000000000e+01,1.800000000000000000e+02,-1.536686898549212248e-03
9.000000000000000000e+01,0.000000000000000000e+00,-2.016938228792534201e-03
9.000000000000000000e+01,1.000000000000000000e+01,-1.513339209618903879e-03
9.000000000000000000e+01,2.000000000000000000e+01,-5.808725360773595503e-04
9.000000000000000000e+01,3.000000000000000000e+01,5.473553087202220413e-04
9.000000000000000000e+01,4.000000000000000000e+01,1.002438280759728644e-03
9.000000000000000000e+01,5.000000000000000000e+01,-5.690457800634187747e-03
9.000000000000000000e+01,6.000000000000000000e+01,9.732729349474756285e-04
9.000000000000000000e+01,7.000000000000000000e+01,-5.194596013278397588e-03
9.000000000000000000e+01,8.000000000000000000e+01,1.128548895161100895e-03
9.000000000000000000e+01,9.000000000000000000e+01,-1.484430737501996013e-03
9.000000000000000000e+01,1.000000000000000000e+02,-1.147452672590898318e-03
9.000000000000000000e+01,1.100000000000000000e+02,-2.599890235405032265e-04
9.000000000000000000e+01,1.200000000000000000e+02,4.263641294881252318e-04
9.000000000000000000e+01,1.300000000000000000e+02,2.213042578289517968e-03
9.000000000000000000e+01,1.400000000000000000e+02,-6.227896311712373487e-05
9.000000000000000000e+01,1.500000000000000000e+02,-1.402845196245414454e-03
9.000000000000000000e+01,1.600000000000000000e+02,-1.570275689759988592e-03
9.000000000000000000e+01,1.700000000000000000e+02,-2.155339749466890498e-03
9.000000000000000000e+01,1.800000000000000000e+02,-1.165624087034637830e-03
9.000000000000000000e+01,0.000000000000000000e+00,1.220371959668333992e-03
9.000000000000000000e+01,1.000000000000000000e+01,-4.471009133378378402e-04
9.000000000000000000e+01,2.000000000000000000e+01,-9.320240471907031065e-04
9.000000000000000000e+01,3.000000000000000000e+01,-2.204164857119452175e-04
9.000000000000000000e+01,4.000000000000000000e+01,4.170027759368728250e-03
9.000000000000000000e+01,5.000000000000000000e+01,-1.396621585845990226e-03
9.000000000000000000e+01,6.000000000000000000e+01,2.002241038145024122e-03
9.000000000000000000e+01,7.000000000000000000e+01,-3.931718327076823695e-04
9.000000000000000000e+01,8.000000000000000000e+01,6.614480401137738750e-04
9.000000000000000000e+01,9.000000000000000000e+01,1.375355988633326443e-03
9.000000000000000000e+01,1.000000000000000000e+02,-2.132384482519819862e-03
9.000000000000000000e+01,1.100000000000000000e+02,-2.386496183848579693e-03
9.000000000000000000e+01,1.200000000000000000e+02,2.487279998859246192e-04
9.000000000000000000e+01,1.300000000000000000e+02,7.448642796698106685e-04
9.000000000000000000e+01,1.400000000000000000e+02,-1.065300047775102161e-03
9.000000000000000000e+01,1.500000000000000000e+02,-2.614912471651387703e-03
9.000000000000000000e+01,1.600000000000000000e+02,-1.030853922939947752e-03
9.000000000000000000e+01,1.700000000000000000e+02,-5.675321712716146182e-03
9.000000000000000000e+01,1.800000000000000000e+02,3.999842069066262239e-03
